model_name,checkpoint_path,threshold_kind,target_precision,confidence_threshold,category_id,category_name,predicted_probability,accepted_probability,accepted_distribution
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,30,"Flies, bees, ants, and grasshopper-like insects",0.0142,0.013,0.015215355805243446
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,31,Dragonflies and butterflies,0.0075,0.0074,0.008661048689138577
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,32,Echinoderms,0.0025,0.0019,0.0022237827715355803
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,33,Rabbits and rodents,0.008,0.0076,0.008895131086142321
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,34,Hoofed mammals,0.0177,0.0161,0.0188436329588015
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,35,Mustelids and related mammals,0.0067,0.0061,0.007139513108614232
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,36,Armadillos and sloths,0.002,0.002,0.0023408239700374533
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,37,Primates and lemurs,0.0214,0.02,0.023408239700374533
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,38,Elephants and pandas,0.0045,0.0044,0.005149812734082397
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,39,"Writing, stationery, and paper goods",0.0059,0.0046,0.0053838951310861425
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,40,"Clothing, fabrics, and wearables",0.0671,0.0538,0.06296816479400749
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,41,Footwear,0.006,0.0055,0.006437265917602996
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,42,"Bags, cases, and personal containers",0.0046,0.0032,0.003745318352059925
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,43,Musical instruments,0.0321,0.0271,0.03171816479400749
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,44,"Aircraft, spacecraft, and military vehicles",0.0101,0.0088,0.010299625468164793
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,45,Watercraft,0.0075,0.0064,0.00749063670411985
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,46,Road and off-road vehicles,0.0288,0.0257,0.030079588014981274
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,47,Rail vehicles,0.0062,0.006,0.007022471910112359
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,48,"Bicycles, motorcycles, and small rides",0.0078,0.0067,0.007841760299625468
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,49,"Buildings, shops, and large structures",0.037,0.0299,0.03499531835205993
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,50,"Bridges, walls, and barriers",0.0097,0.0079,0.00924625468164794
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,51,Furniture and home furnishings,0.021,0.0158,0.01849250936329588
